epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.5752,1.219,3.7577,1.4041,0.00192,0.29613,0.09864,0.06424,1.30551,4.75378,1.24594,0.00021671,0.00021671,0.00021671
2,127.735,1.05165,2.67792,1.22157,0.00144,0.23558,0.06153,0.02644,1.41423,4.63049,1.3097,0.000445634,0.000445634,0.000445634
3,191.313,1.10535,2.20637,1.26518,0.00162,0.25121,0.08626,0.04433,1.4153,4.49008,1.4299,0.000669937,0.000669937,0.000669937
4,255.562,1.17652,2.09073,1.27627,1,0.03742,0.11295,0.05801,1.33335,4.36734,1.40358,0.00088962,0.00088962,0.00088962
5,320.63,1.20304,2.00619,1.35516,0.74275,0.08008,0.07297,0.03479,1.44096,4.26934,1.46802,0.00110468,0.00110468,0.00110468
6,383.82,1.21997,1.92682,1.28328,0.65034,0.08594,0.10683,0.04561,1.57946,4.32987,1.50708,0.00131512,0.00131512,0.00131512
7,446.677,1.16985,1.90249,1.27484,0.64667,0.08984,0.17675,0.06936,1.49027,4.06232,1.47409,0.00152094,0.00152094,0.00152094
8,509.626,1.20137,1.8278,1.27341,0.41353,0.202,0.20112,0.07929,1.63871,3.61483,1.64891,0.00155148,0.00155148,0.00155148
9,571.461,1.19345,1.72078,1.29071,0.66374,0.22461,0.18608,0.09129,1.4739,3.09684,1.45655,0.00153497,0.00153497,0.00153497
10,633.138,1.13138,1.65246,1.2358,0.48674,0.55463,0.46629,0.22267,1.47665,2.94651,1.58126,0.00151847,0.00151847,0.00151847
11,694.164,1.16746,1.61449,1.27111,0.39264,0.53388,0.37137,0.15806,1.54907,3.47173,1.52286,0.00150197,0.00150197,0.00150197
12,755.3,1.19225,1.54798,1.26493,0.55611,0.55259,0.50481,0.24975,1.75627,3.33412,1.61975,0.00148546,0.00148546,0.00148546
13,816.149,1.11888,1.50262,1.2691,0.62281,0.59754,0.57152,0.24691,1.61661,2.71455,1.43794,0.00146896,0.00146896,0.00146896
14,877.897,1.11882,1.46972,1.23891,0.64825,0.56209,0.58222,0.28411,1.67095,2.4051,1.59889,0.00145246,0.00145246,0.00145246
15,939.592,1.14301,1.43434,1.20306,0.5864,0.54269,0.52576,0.26435,1.30024,2.5066,1.29223,0.00143595,0.00143595,0.00143595
16,1000.62,1.08385,1.35104,1.24449,0.65423,0.64652,0.64498,0.37309,1.23204,1.93714,1.3103,0.00141945,0.00141945,0.00141945
17,1062.34,1.1047,1.3557,1.1945,0.60074,0.59812,0.58868,0.30624,1.44253,2.18792,1.33834,0.00140295,0.00140295,0.00140295
18,1123.63,1.1737,1.42769,1.21869,0.65496,0.54464,0.63832,0.37282,1.3082,2.20686,1.42947,0.00138644,0.00138644,0.00138644
19,1185.67,1.05441,1.29172,1.18824,0.64311,0.66624,0.66886,0.4149,1.14811,1.67098,1.27648,0.00136994,0.00136994,0.00136994
20,1250.69,1.0413,1.18496,1.17632,0.71298,0.7793,0.75326,0.44638,1.15412,1.42827,1.22617,0.00135344,0.00135344,0.00135344
21,1315.77,1.07785,1.17988,1.22864,0.71203,0.74562,0.73451,0.42097,1.3466,1.55377,1.28724,0.00133693,0.00133693,0.00133693
22,1378.44,1.03224,1.18246,1.18748,0.75115,0.73511,0.77109,0.47602,1.19999,1.35389,1.28355,0.00132043,0.00132043,0.00132043
23,1440.14,0.97444,1.11936,1.16911,0.74496,0.73242,0.76616,0.44303,1.25759,1.46074,1.34063,0.00130393,0.00130393,0.00130393
24,1502.44,0.86424,1.00313,1.14585,0.67548,0.73168,0.72299,0.37664,1.45023,1.53784,1.47679,0.00128742,0.00128742,0.00128742
25,1564.41,0.92431,1.06606,1.12452,0.7353,0.74182,0.76042,0.45018,1.25335,1.31845,1.37073,0.00127092,0.00127092,0.00127092
26,1625.76,0.93888,0.98622,1.1029,0.71756,0.73986,0.77674,0.48428,1.12597,1.23162,1.11439,0.00125442,0.00125442,0.00125442
27,1686.57,0.93959,1.07279,1.12639,0.71551,0.74405,0.75941,0.47522,1.09061,1.26256,1.15347,0.00123791,0.00123791,0.00123791
28,1747.48,1.00626,1.01365,1.14201,0.76179,0.67811,0.75841,0.46773,1.09863,1.28747,1.13572,0.00122141,0.00122141,0.00122141
29,1809.91,0.9637,1.0036,1.117,0.71264,0.72135,0.76462,0.48045,1.02787,1.37781,1.08304,0.00120491,0.00120491,0.00120491
30,1871.14,0.93275,0.98475,1.16417,0.76223,0.71335,0.79015,0.50459,0.98579,1.06778,1.06309,0.0011884,0.0011884,0.0011884
31,1933.18,0.88692,0.93497,1.10243,0.69024,0.80538,0.76164,0.4631,1.10091,1.25983,1.18754,0.0011719,0.0011719,0.0011719
32,1995.36,0.92323,0.91352,1.13019,0.73338,0.77443,0.7812,0.49487,1.12129,1.14033,1.1159,0.0011554,0.0011554,0.0011554
33,2057.79,0.93368,0.92396,1.10774,0.7279,0.742,0.76803,0.46972,1.09546,1.24374,1.11222,0.00113889,0.00113889,0.00113889
34,2119.01,0.93878,0.98455,1.10197,0.73394,0.75428,0.78406,0.51244,0.99054,1.081,1.0618,0.00112239,0.00112239,0.00112239
35,2179.52,0.87069,0.88734,1.09662,0.74246,0.78513,0.81931,0.5208,1.0201,1.07057,1.0637,0.00110589,0.00110589,0.00110589
36,2240.68,0.85931,0.90108,1.10377,0.75658,0.79455,0.83666,0.53252,1.00632,0.99002,1.07074,0.00108938,0.00108938,0.00108938
37,2303.55,0.89785,0.89277,1.08293,0.74095,0.80264,0.82376,0.51469,1.03869,1.0341,1.06565,0.00107288,0.00107288,0.00107288
38,2367.53,0.83853,0.85575,1.05682,0.78199,0.77946,0.82858,0.55087,0.92755,0.95711,1.03158,0.00105638,0.00105638,0.00105638
39,2428.75,0.86233,0.88034,1.07105,0.75952,0.78931,0.82507,0.54315,0.90027,0.96188,1.01489,0.00103987,0.00103987,0.00103987
40,2490.63,0.85346,0.83583,1.04102,0.80626,0.77334,0.84318,0.55808,0.93757,0.88215,1.03124,0.00102337,0.00102337,0.00102337
41,2554.13,0.80201,0.79562,1.02543,0.75343,0.75682,0.81977,0.51743,0.96435,0.99612,1.01382,0.00100687,0.00100687,0.00100687
42,2615.5,0.8108,0.83791,1.08852,0.79173,0.79084,0.83013,0.56728,0.8648,0.88362,0.97914,0.000990365,0.000990365,0.000990365
43,2677.35,0.84845,0.84902,1.09219,0.73819,0.80567,0.82831,0.56131,0.89333,0.85813,1.01803,0.000973861,0.000973861,0.000973861
